order_number,source_platform,status,order_date,total_amount,customer,tracking_number
24-13559-60244,SHIPSTATION,SHIPPED,2025-09-10 17:33:06+00:00,16.95,<app.models.models.Customer object at 0x7f574572e450>,9434650206217082720657
200013492064844,SHIPSTATION,SHIPPED,2025-09-02 09:29:59.030000+00:00,145.13,<app.models.models.Customer object at 0x7f574572cd50>,None
200013665281506,SHIPSTATION,SHIPPED,2025-09-02 10:13:45.967000+00:00,170.00,<app.models.models.Customer object at 0x7f572cdad250>,None
200013552058292,SHIPSTATION,SHIPPED,2025-09-02 10:44:12.013000+00:00,164.59,<app.models.models.Customer object at 0x7f572cdad350>,None
21-13513-71531,SHIPSTATION,SHIPPED,2025-09-02 10:53:05+00:00,16.36,<app.models.models.Customer object at 0x7f572cdac550>,9400150206217264048669
200013716098260,SHIPSTATION,SHIPPED,2025-09-04 15:55:33.603000+00:00,154.79,<app.models.models.Customer object at 0x7f572cd10a50>,9434650206217082025059
200013644880360,SHIPSTATION,AWAITING_SHIPMENT,2025-09-09 15:23:09.710000+00:00,223.50,<app.models.models.Customer object at 0x7f572cd24250>,None
21-13544-33911,SHIPSTATION,SHIPPED,2025-09-09 16:08:20+00:00,441.75,<app.models.models.Customer object at 0x7f57484be850>,393086151336
200013606065582,SHIPSTATION,SHIPPED,2025-09-04 15:05:05.540000+00:00,200.00,<app.models.models.Customer object at 0x7f572cdafc50>,393068286621
07-13533-67693,SHIPSTATION,SHIPPED,2025-09-02 13:15:37+00:00,47.67,<app.models.models.Customer object at 0x7f574572f550>,9400150206217261094768
26-13507-73990,SHIPSTATION,SHIPPED,2025-09-02 12:52:34+00:00,39.92,<app.models.models.Customer object at 0x7f572cdaca50>,9400150105501143135451
200013642361543,SHIPSTATION,AWAITING_SHIPMENT,2025-09-09 14:36:44.660000+00:00,145.13,<app.models.models.Customer object at 0x7f572cd27350>,None
07-13557-87904,SHIPSTATION,SHIPPED,2025-09-08 10:15:49+00:00,20.70,<app.models.models.Customer object at 0x7f572cd26550>,9434650105501045739438
200013447756002,SHIPSTATION,SHIPPED,2025-09-08 17:31:01.743000+00:00,18.00,<app.models.models.Customer object at 0x7f574572d050>,9434650105501046026209
200013639818726,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 11:45:13.847000+00:00,460.00,<app.models.models.Customer object at 0x7f57450f0a50>,None
200013508585893,SHIPSTATION,SHIPPED,2025-09-10 11:13:03.017000+00:00,0.00,<app.models.models.Customer object at 0x7f572cd36350>,None
200013328862272,SHIPSTATION,SHIPPED,2025-09-06 13:26:23.763000+00:00,151.92,<app.models.models.Customer object at 0x7f572cd13b50>,393171263300
20-13516-00843,SHIPSTATION,SHIPPED,2025-09-02 13:32:42+00:00,28.97,<app.models.models.Customer object at 0x7f572cdacc50>,9400150206217261094140
09-13530-76250,SHIPSTATION,SHIPPED,2025-09-02 13:35:43+00:00,1556.87,<app.models.models.Customer object at 0x7f574572f850>,392806090199
17-13556-75718,SHIPSTATION,SHIPPED,2025-09-11 09:37:42+00:00,176.84,<app.models.models.Customer object at 0x7f572cd25450>,9434650105501047842969
200013593329078,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 08:52:13.163000+00:00,152.09,<app.models.models.Customer object at 0x7f572cd24d50>,None
200013728657517,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 08:36:53.447000+00:00,140.97,<app.models.models.Customer object at 0x7f57450f0d50>,None
26-13534-58608,SHIPSTATION,SHIPPED,2025-09-08 23:43:46+00:00,47.46,<app.models.models.Customer object at 0x7f5745f73950>,9434650206217081692443
200013662497263,SHIPSTATION,SHIPPED,2025-09-08 09:00:49.947000+00:00,299.90,<app.models.models.Customer object at 0x7f572cdbdf50>,9434650105501047560016
15-13522-77046,SHIPSTATION,SHIPPED,2025-09-02 13:56:10+00:00,195.31,<app.models.models.Customer object at 0x7f572cdacf50>,9434650206217078458304
02-13540-64287,SHIPSTATION,SHIPPED,2025-09-02 13:55:45+00:00,48.89,<app.models.models.Customer object at 0x7f572cdace50>,9400150105501142094667
01-13576-84087,SHIPSTATION,SHIPPED,2025-09-10 19:33:54+00:00,26.94,<app.models.models.Customer object at 0x7f572cdae950>,9400150105501155136644
200013586435406,SHIPSTATION,SHIPPED,2025-09-08 13:00:22.440000+00:00,190.00,<app.models.models.Customer object at 0x7f572cdae550>,393068312200
200013543134262,WALMART,AWAITING_SHIPMENT,2025-09-08 23:17:41.855000+00:00,151.00,<app.models.models.Customer object at 0x7f5746399050>,None
200013934328332,SHIPSTATION,SHIPPED,2025-09-02 14:06:03.950000+00:00,299.90,<app.models.models.Customer object at 0x7f572cdae150>,None
200013445287091,SHIPSTATION,SHIPPED,2025-09-02 14:14:51.563000+00:00,129.26,<app.models.models.Customer object at 0x7f57450f0c50>,None
02-13566-63470,SHIPSTATION,SHIPPED,2025-09-08 18:38:29+00:00,81.59,<app.models.models.Customer object at 0x7f572cd10150>,9400150206217272466295
23-13512-32023,SHIPSTATION,SHIPPED,2025-09-02 14:53:54+00:00,40.76,<app.models.models.Customer object at 0x7f574572ef50>,9400150206217261092436
200013557045277,SHIPSTATION,AWAITING_SHIPMENT,2025-09-10 11:56:15.853000+00:00,299.90,<app.models.models.Customer object at 0x7f57450f2450>,None
200013799517675,SHIPSTATION,AWAITING_SHIPMENT,2025-09-10 04:27:34.120000+00:00,153.00,<app.models.models.Customer object at 0x7f572cdbed50>,None
10-13557-21430,SHIPSTATION,SHIPPED,2025-09-09 06:51:59+00:00,29.69,<app.models.models.Customer object at 0x7f574572e550>,9400150206217273127348
200013632277959,SHIPSTATION,SHIPPED,2025-09-06 16:22:43.407000+00:00,151.92,<app.models.models.Customer object at 0x7f572cd13d50>,393171268790
04-13527-46152,SHIPSTATION,SHIPPED,2025-09-09 08:28:40.197000+00:00,0.00,<app.models.models.Customer object at 0x7f57450f2d50>,None
16-13547-82619,SHIPSTATION,SHIPPED,2025-09-08 21:09:15+00:00,43.65,<app.models.models.Customer object at 0x7f572cd13450>,9400150105501153085685
04-13538-27911,SHIPSTATION,SHIPPED,2025-09-02 16:41:53+00:00,17.05,<app.models.models.Customer object at 0x7f574572c350>,9434650206217078463575
21-13542-84453,SHIPSTATION,SHIPPED,2025-09-09 09:39:50+00:00,48.93,<app.models.models.Customer object at 0x7f572cdbd550>,9434650105501047024082
01-13566-51317,SHIPSTATION,SHIPPED,2025-09-08 10:58:47+00:00,29.20,<app.models.models.Customer object at 0x7f572cd26350>,9400150105501150632554
200013634442898,SHIPSTATION,SHIPPED,2025-09-11 07:03:44.007000+00:00,0.00,<app.models.models.Customer object at 0x7f572cd11250>,9434650105501047232463
19-13518-35272,SHIPSTATION,CANCELLED,2025-09-02 18:19:19+00:00,333.92,<app.models.models.Customer object at 0x7f574572c450>,None
11-13529-03564,SHIPSTATION,SHIPPED,2025-09-02 18:09:52+00:00,19.92,<app.models.models.Customer object at 0x7f574572e750>,9400150206217262173189
200013657245262,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 18:57:45.570000+00:00,299.90,<app.models.models.Customer object at 0x7f572cdafe50>,None
27-13548-07389,SHIPSTATION,SHIPPED,2025-09-12 12:36:29+00:00,27.34,<app.models.models.Customer object at 0x7f572cd37550>,9400150105501158120947
17-13548-63714,SHIPSTATION,SHIPPED,2025-09-09 10:20:33+00:00,30.25,<app.models.models.Customer object at 0x7f572cd13150>,9434650206217082401556
21-13541-73456,SHIPSTATION,SHIPPED,2025-09-09 04:31:54+00:00,29.53,<app.models.models.Customer object at 0x7f574572cf50>,9400150105501153966137
08-13557-45152,SHIPSTATION,SHIPPED,2025-09-08 15:02:35+00:00,59.99,<app.models.models.Customer object at 0x7f572cd25f50>,9400150206217271390010
200013660094894,SHIPSTATION,AWAITING_SHIPMENT,2025-09-09 14:55:17.577000+00:00,185.99,<app.models.models.Customer object at 0x7f572cd27250>,None
200013547041629,SHIPSTATION,SHIPPED,2025-09-05 17:02:45.293000+00:00,234.99,<app.models.models.Customer object at 0x7f572cd12f50>,9434650206217085544991
200013634561407,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 13:02:59.960000+00:00,299.90,<app.models.models.Customer object at 0x7f574572de50>,None
200013722177187,SHIPSTATION,SHIPPED,2025-09-04 16:43:02.917000+00:00,114.99,<app.models.models.Customer object at 0x7f572cd10b50>,393035478888
200013713688496,SHIPSTATION,SHIPPED,2025-09-08 19:46:42.640000+00:00,153.00,<app.models.models.Customer object at 0x7f572cdbc350>,393119582125
25-13535-43239,SHIPSTATION,SHIPPED,2025-09-08 18:33:15+00:00,58.08,<app.models.models.Customer object at 0x7f572cdafb50>,9400150206217272466523
200013710495704,SHIPSTATION,SHIPPED,2025-09-13 14:02:06.137000+00:00,157.31,<app.models.models.Customer object at 0x7f572cd4a750>,393281293924
27-13544-53752,SHIPSTATION,SHIPPED,2025-09-11 14:25:18+00:00,177.83,<app.models.models.Customer object at 0x7f57450f2750>,9434650105501047916721
200013764131143,SHIPSTATION,SHIPPED,2025-09-03 15:29:36.670000+00:00,137.15,<app.models.models.Customer object at 0x7f57450f2650>,9434650206217082024786
200013545959832,SHIPSTATION,SHIPPED,2025-09-08 06:03:07.327000+00:00,0.00,<app.models.models.Customer object at 0x7f5745f73e50>,None
27-13531-93455,SHIPSTATION,SHIPPED,2025-09-08 14:08:01+00:00,21.10,<app.models.models.Customer object at 0x7f572cd26b50>,9400150206217272467346
01-13567-69124,SHIPSTATION,SHIPPED,2025-09-08 15:51:36+00:00,132.77,<app.models.models.Customer object at 0x7f572cd26a50>,9434650105501046090774
03-13542-57900,SHIPSTATION,SHIPPED,2025-09-03 10:39:44+00:00,29.41,<app.models.models.Customer object at 0x7f574572e850>,9400150105501144954150
07-13559-29062,SHIPSTATION,CANCELLED,2025-09-08 16:06:43+00:00,222.87,<app.models.models.Customer object at 0x7f572cd26a50>,None
16-13551-19861,SHIPSTATION,SHIPPED,2025-09-09 15:24:00+00:00,19.59,<app.models.models.Customer object at 0x7f572cd26050>,9400150105501154333006
18-13556-15142,SHIPSTATION,SHIPPED,2025-09-11 12:23:37+00:00,125.48,<app.models.models.Customer object at 0x7f574572f150>,797624299739
200013609792677,SHIPSTATION,SHIPPED,2025-09-03 13:25:31.323000+00:00,319.94,<app.models.models.Customer object at 0x7f572cdaee50>,None
200013595552938,SHIPSTATION,SHIPPED,2025-09-03 13:29:22.370000+00:00,147.80,<app.models.models.Customer object at 0x7f57450f1c50>,None
24-13529-68644,SHIPSTATION,SHIPPED,2025-09-03 13:20:15+00:00,27.55,<app.models.models.Customer object at 0x7f572cd25250>,9400150105501144953993
25-13585-18498,SHIPSTATION,SHIPPED,2025-09-21 09:01:44+00:00,239.86,<app.models.models.Customer object at 0x7f572cde4d50>,9434650105501052095671
200013727775101,SHIPSTATION,SHIPPED,2025-09-07 17:45:12.853000+00:00,234.99,<app.models.models.Customer object at 0x7f572cdbc050>,9434650105501046998285
200013724359707,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 11:19:22.290000+00:00,137.61,<app.models.models.Customer object at 0x7f57450f1b50>,None
200013517552855,SHIPSTATION,SHIPPED,2025-09-08 09:37:57.470000+00:00,262.99,<app.models.models.Customer object at 0x7f572cd10850>,9434650105501046440760
200013571449495,SHIPSTATION,AWAITING_SHIPMENT,2025-09-09 14:34:14.127000+00:00,223.50,<app.models.models.Customer object at 0x7f572cd27450>,None
25-13535-36339,SHIPSTATION,SHIPPED,2025-09-08 18:11:56+00:00,17.14,<app.models.models.Customer object at 0x7f5745bd2d50>,9434650206217083925624
200013605417714,SHIPSTATION,CANCELLED,2025-09-11 11:23:05.987000+00:00,176.36,<app.models.models.Customer object at 0x7f572cd37650>,None
200013641748917,SHIPSTATION,SHIPPED,2025-09-06 12:23:06.843000+00:00,164.99,<app.models.models.Customer object at 0x7f572cd13850>,9434650105501046655447
200013532046633,SHIPSTATION,SHIPPED,2025-09-05 15:30:16.827000+00:00,129.26,<app.models.models.Customer object at 0x7f572cd12c50>,9434650206217082249608
22-13543-56631,SHIPSTATION,SHIPPED,2025-09-09 18:12:14+00:00,19.92,<app.models.models.Customer object at 0x7f572cdae250>,9400150105501154800447
20-13547-24723,SHIPSTATION,SHIPPED,2025-09-10 02:11:40+00:00,47.25,<app.models.models.Customer object at 0x7f57450f3d50>,9400150105501154101049
02-13573-37085,SHIPSTATION,SHIPPED,2025-09-10 09:52:53+00:00,46.02,<app.models.models.Customer object at 0x7f572cdbe250>,9400150105501154932513
200013694206746,SHIPSTATION,CANCELLED,2025-09-03 15:43:20.587000+00:00,120.13,<app.models.models.Customer object at 0x7f57450f3a50>,None
200013680870121,SHIPSTATION,AWAITING_SHIPMENT,2025-09-11 11:25:14.663000+00:00,145.13,<app.models.models.Customer object at 0x7f572cdbcf50>,None
05-13541-54474,SHIPSTATION,SHIPPED,2025-09-03 15:49:05+00:00,540.79,<app.models.models.Customer object at 0x7f572cd25750>,392864951214
08-13577-83650,SHIPSTATION,SHIPPED,2025-09-13 18:27:30+00:00,48.36,<app.models.models.Customer object at 0x7f572cd4b450>,9434650105501048346923
200013591521620,SHIPSTATION,SHIPPED,2025-09-05 04:34:42.613000+00:00,158.95,<app.models.models.Customer object at 0x7f572cdbc550>,9434650206217082393097
200013647445282,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 11:32:17.530000+00:00,145.13,<app.models.models.Customer object at 0x7f57450f3950>,None
05-13564-57640,SHIPSTATION,SHIPPED,2025-09-09 07:23:07+00:00,46.27,<app.models.models.Customer object at 0x7f572cdae650>,9400150206217273126938
05-13563-29244,SHIPSTATION,SHIPPED,2025-09-08 22:36:44+00:00,40.73,<app.models.models.Customer object at 0x7f572cd24a50>,9400150105501153085852
200013610441537,SHIPSTATION,SHIPPED,2025-09-08 08:18:24.097000+00:00,439.80,<app.models.models.Customer object at 0x7f572cdaf350>,393070377273
24-13554-83390,SHIPSTATION,SHIPPED,2025-09-09 13:58:25+00:00,91.11,<app.models.models.Customer object at 0x7f572cdbc450>,9400150105501154095232
200013689964405,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 06:23:44.437000+00:00,319.94,<app.models.models.Customer object at 0x7f57450f3150>,None
200013533746191,SHIPSTATION,SHIPPED,2025-09-08 12:14:17.677000+00:00,180.00,<app.models.models.Customer object at 0x7f572cdae750>,393068354559
01-13572-11659,SHIPSTATION,SHIPPED,2025-09-09 16:17:04+00:00,28.49,<app.models.models.Customer object at 0x7f574572fb50>,9400150105501153965628
200013862824417,SHIPSTATION,AWAITING_SHIPMENT,2025-09-07 17:22:24.243000+00:00,215.00,<app.models.models.Customer object at 0x7f572cdbec50>,None
200013465775070,SHIPSTATION,AWAITING_SHIPMENT,2025-09-09 12:29:09.490000+00:00,152.09,<app.models.models.Customer object at 0x7f572cdacb50>,None
04-13566-10394,SHIPSTATION,SHIPPED,2025-09-09 09:38:37+00:00,189.88,<app.models.models.Customer object at 0x7f572cdbd450>,9434650206217082241558
16-13569-39018,SHIPSTATION,SHIPPED,2025-09-14 10:48:14+00:00,48.14,<app.models.models.Customer object at 0x7f572cd36e50>,9434650206217083980760
200013598847883,SHIPSTATION,SHIPPED,2025-09-05 06:53:33.567000+00:00,145.13,<app.models.models.Customer object at 0x7f572cd11b50>,9434650206217082249240
200013626165343,SHIPSTATION,SHIPPED,2025-09-12 13:54:51.717000+00:00,156.19,<app.models.models.Customer object at 0x7f572cdd5550>,393266760992
200013794526562,SHIPSTATION,AWAITING_SHIPMENT,2025-09-12 00:39:52.253000+00:00,145.13,<app.models.models.Customer object at 0x7f572cd49250>,None
200013565133236,SHIPSTATION,SHIPPED,2025-09-09 10:48:49.220000+00:00,0.00,<app.models.models.Customer object at 0x7f572cd24950>,9400150105501152456905
200013488847822,SHIPSTATION,AWAITING_SHIPMENT,2025-09-04 17:21:33.743000+00:00,215.00,<app.models.models.Customer object at 0x7f572cdafd50>,None
24-13566-24488,SHIPSTATION,SHIPPED,2025-09-12 10:43:04+00:00,226.05,<app.models.models.Customer object at 0x7f572cd37950>,9434650206217083680042
05-13569-09421,SHIPSTATION,SHIPPED,2025-09-10 08:20:09+00:00,58.57,<app.models.models.Customer object at 0x7f572cd10450>,9400150105501154932612
27-13535-69508,SHIPSTATION,SHIPPED,2025-09-09 11:32:55+00:00,102.00,<app.models.models.Customer object at 0x7f57484bfd50>,9434650105501046656185
200013466274806,SHIPSTATION,SHIPPED,2025-09-05 10:39:43.133000+00:00,128.40,<app.models.models.Customer object at 0x7f572cd12450>,393117340120
200013552965800,WALMART,AWAITING_SHIPMENT,2025-09-10 23:48:28.366000+00:00,167.94,<app.models.models.Customer object at 0x7f57450f2150>,None
200013618409182,SHIPSTATION,AWAITING_SHIPMENT,2025-09-10 14:55:44.350000+00:00,169.79,<app.models.models.Customer object at 0x7f572cdbe650>,None
16-13550-99795,SHIPSTATION,CANCELLED,2025-09-09 14:19:06+00:00,316.15,<app.models.models.Customer object at 0x7f572cd11f50>,None
200013620142487,SHIPSTATION,SHIPPED,2025-09-06 07:47:11.763000+00:00,380.00,<app.models.models.Customer object at 0x7f572cd13750>,9434650206217083566940
13-13568-55112,SHIPSTATION,AWAITING_SHIPMENT,2025-09-12 23:48:08+00:00,31.20,<app.models.models.Customer object at 0x7f572cdd6150>,None
01-13576-54952,SHIPSTATION,SHIPPED,2025-09-10 17:51:17+00:00,46.73,<app.models.models.Customer object at 0x7f57450f3650>,9400150105501156406845
26-13574-96795,SHIPSTATION,SHIPPED,2025-09-18 20:50:34+00:00,278.36,<app.models.models.Customer object at 0x7f572cd68550>,9434650206217086889114
200013530999616,SHIPSTATION,CANCELLED,2025-09-09 11:59:12.727000+00:00,153.00,<app.models.models.Customer object at 0x7f572cdbed50>,None
23-13541-12625,SHIPSTATION,SHIPPED,2025-09-09 12:16:36+00:00,44.50,<app.models.models.Customer object at 0x7f572cdd4a50>,9434650206217082177604
24-13578-29511,SHIPSTATION,SHIPPED,2025-09-15 11:47:20+00:00,21.29,<app.models.models.Customer object at 0x7f572cd58d50>,9400150206217283449430
20-13545-97442,SHIPSTATION,SHIPPED,2025-09-09 16:30:36+00:00,231.64,<app.models.models.Customer object at 0x7f5746243350>,9434650206217082693661
200013725104901,SHIPSTATION,SHIPPED,2025-09-09 08:09:21.817000+00:00,277.60,<app.models.models.Customer object at 0x7f572cdbd050>,393171233785
200013717801474,SHIPSTATION,SHIPPED,2025-09-05 20:41:35.050000+00:00,147.29,<app.models.models.Customer object at 0x7f572cdbd350>,393117360648
200013523819011,SHIPSTATION,SHIPPED,2025-09-05 08:28:26.933000+00:00,182.62,<app.models.models.Customer object at 0x7f572cd12050>,None
26-13536-58279,SHIPSTATION,SHIPPED,2025-09-09 10:41:15+00:00,15.99,<app.models.models.Customer object at 0x7f572cdbe850>,9434650105501046591844
12-13555-00606,SHIPSTATION,SHIPPED,2025-09-09 08:01:57+00:00,26.03,<app.models.models.Customer object at 0x7f572cdae050>,9400150105501153965024
25-13542-73540,SHIPSTATION,SHIPPED,2025-09-10 12:13:20+00:00,594.70,<app.models.models.Customer object at 0x7f57450f3c50>,393126649407
24-13534-63982,SHIPSTATION,SHIPPED,2025-09-04 17:37:04+00:00,164.25,<app.models.models.Customer object at 0x7f572cd27950>,9434650105501044776076
19-13478-76381,SHIPSTATION,SHIPPED,2025-09-10 11:38:15.420000+00:00,0.00,<app.models.models.Customer object at 0x7f572cdad750>,None
12-13560-19028,SHIPSTATION,SHIPPED,2025-09-10 11:31:55+00:00,5.36,<app.models.models.Customer object at 0x7f572cd6bb50>,9400150206217274361246
19-13526-86576,SHIPSTATION,SHIPPED,2025-09-04 18:22:43+00:00,245.79,<app.models.models.Customer object at 0x7f572cdbf450>,9434650206217080292347
27-13536-56862,SHIPSTATION,SHIPPED,2025-09-09 15:38:14+00:00,144.42,<app.models.models.Customer object at 0x7f572cd11950>,393078688030
06-13564-82713,SHIPSTATION,SHIPPED,2025-09-09 14:31:10+00:00,29.77,<app.models.models.Customer object at 0x7f572cd13350>,9400150206217273508468
01-13588-27356,SHIPSTATION,SHIPPED,2025-09-13 21:23:58+00:00,48.14,<app.models.models.Customer object at 0x7f572cdaea50>,9434650206217083980821
200013405582442,SHIPSTATION,SHIPPED,2025-09-10 15:25:57.807000+00:00,134.00,<app.models.models.Customer object at 0x7f572cd10550>,393212991596
05-13564-66082,SHIPSTATION,SHIPPED,2025-09-09 07:45:13+00:00,114.08,<app.models.models.Customer object at 0x7f57450f0750>,9434650206217082614062
08-13569-65062,SHIPSTATION,SHIPPED,2025-09-11 13:08:14+00:00,269.51,<app.models.models.Customer object at 0x7f572cd48850>,9434650105501048099096
200013648879652,SHIPSTATION,SHIPPED,2025-09-11 15:51:19.890000+00:00,18.00,<app.models.models.Customer object at 0x7f572cd48050>,9434650105501047943673
200013649252031,SHIPSTATION,AWAITING_SHIPMENT,2025-09-12 09:19:10.593000+00:00,234.99,<app.models.models.Customer object at 0x7f572cd49050>,None
200014002350367,SHIPSTATION,SHIPPED,2025-09-04 14:54:46.920000+00:00,160.24,<app.models.models.Customer object at 0x7f572cd10750>,393068239707
08-13541-70332,SHIPSTATION,SHIPPED,2025-09-04 19:31:32+00:00,21.49,<app.models.models.Customer object at 0x7f572cd27a50>,9434650206217082534186
23-13542-23174,SHIPSTATION,SHIPPED,2025-09-09 18:04:49+00:00,358.65,<app.models.models.Customer object at 0x7f57450f2a50>,9434650206217082693685
200013546339765,SHIPSTATION,SHIPPED,2025-09-04 15:02:46.960000+00:00,125.86,<app.models.models.Customer object at 0x7f572cd10950>,393068259878
200013672882096,SHIPSTATION,SHIPPED,2025-09-14 08:50:28.267000+00:00,128.00,<app.models.models.Customer object at 0x7f572cd59b50>,393304777363
24-13564-02118,SHIPSTATION,SHIPPED,2025-09-11 20:20:18+00:00,134.00,<app.models.models.Customer object at 0x7f572cd36850>,9434650206217083728201
200013431280018,SHIPSTATION,AWAITING_SHIPMENT,2025-09-09 09:27:03.290000+00:00,136.96,<app.models.models.Customer object at 0x7f572cd24550>,None
200013401654264,SHIPSTATION,AWAITING_SHIPMENT,2025-09-09 08:51:01.307000+00:00,172.78,<app.models.models.Customer object at 0x7f572cd12b50>,None
27-13546-97163,SHIPSTATION,SHIPPED,2025-09-12 07:46:51+00:00,479.37,<app.models.models.Customer object at 0x7f572cd25b50>,393158659837
200013461917366,SHIPSTATION,SHIPPED,2025-09-10 09:03:24.957000+00:00,299.90,<app.models.models.Customer object at 0x7f572cd37450>,9434650206217083377034
15-13553-50182,SHIPSTATION,SHIPPED,2025-09-09 22:10:45+00:00,32.37,<app.models.models.Customer object at 0x7f574572df50>,9434650206217082451810
04-13570-17952,SHIPSTATION,SHIPPED,2025-09-10 08:47:58+00:00,272.69,<app.models.models.Customer object at 0x7f572cdbc150>,9434650206217083211345
15-13553-31736,SHIPSTATION,SHIPPED,2025-09-09 20:26:44+00:00,295.47,<app.models.models.Customer object at 0x7f572cd10050>,9400150206217273752540
09-13559-20747,SHIPSTATION,SHIPPED,2025-09-09 09:42:24+00:00,132.77,<app.models.models.Customer object at 0x7f572cd13950>,9434650105501047092487
