Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU),Cost,check
,,,,,,,,,,,161729124565,0.0,False
,,,,,,,,,,,1OA-4B17-TWR,50.5,False
,,,,,,,,,,,2EE-RLCG-TR2,63.19,False
,,,,,,,,,,,2VI-I7G-MNW,68.0,False
Revise,Monitors (80053),167716631482.0,"Dell 22″ Widescreen LCD Monitor – 1680×1050/1080p, Includes Stand & VGA Cable",US,USD,99.98,,5.0,,,3RO-G77-WMK,,False
,,,,,,,,,,,4OW-QT2I-HH7,60.19,False
Revise,CPUs/Processors (164),167669551717.0,Intel Core i3 4th Gen CPU Processor | 3.20GHz | Desktop LGA1150,US,USD,,,,,Generation=2nd Gen;3rd Gen;4th Gen;6th Gen,4XD-HC8-YC8,,False
,,,,,,8.25,,10.0,Variation,Generation=2nd Gen,4XD-HC8-YC8,,False
,,,,,,10.25,,10.0,Variation,Generation=3rd Gen,4XD-HC8-YC8-1,,False
,,,,,,14.25,,10.0,Variation,Generation=4th Gen,4XD-HC8-YC8-2,,False
,,,,,,25.25,,10.0,Variation,Generation=6th Gen,4XD-HC8-YC8-3,,False
,,,,,,,,,,,5QZ-IN-IHH,49.4,False
,,,,,,,,,,,5UQ-AM7V-4T42,53.0,False
,,,,,,125.25,,3.0,Variation,RAM Size=8 GB|SSD Capacity=256 GB,6LD-YHK-RRV,,False
,,,,,,150.25,,3.0,Variation,RAM Size=8 GB|SSD Capacity=512 GB,6LD-YHK-RRV-1,,False
,,,,,,185.25,,3.0,Variation,RAM Size=8 GB|SSD Capacity=1 TB,6LD-YHK-RRV-2,,False
,,,,,,184.25,,3.0,Variation,RAM Size=16 GB|SSD Capacity=256 GB,6LD-YHK-RRV-3,,False
,,,,,,199.25,,3.0,Variation,RAM Size=16 GB|SSD Capacity=512 GB,6LD-YHK-RRV-4,,False
,,,,,,250.25,,3.0,Variation,RAM Size=16 GB|SSD Capacity=1 TB,6LD-YHK-RRV-5,,False
,,,,,,,,,,,6P2-F55I-A0I,23.5,False
,,,,,,,,,,,6R5-87OV-BFC,0.0,False
,,,,,,,,,,,6UZ-QU-P0Q,32.5,False
,,,,,,,,,,,75B-KN1-GBN,79.4,False
,,,,,,,,,,,76S-SKX-2GG,24.0,False
,,,,,,,,,,,7KP-W12T-X04,0.0,False
,,,,,,,,,,,820-0FA-Z24,64.0,False
,,,,,,,,,,,8N9-9O5-JHAP,55.4,False
Revise,PC Desktops & All-In-Ones (179),167765869992.0,Dell Optiplex Tower Intel Core i5-9th 16Gb 256Gb SSD Windows 11 pro,US,USD,272.25,,0.0,,,94QA-IJFQ-HM54B,,False
,,,,,,,,,,,9Q6-D0HV-8AM2,65.5,False
,,,,,,,,,,,BO4-7M90-S90,60.5,False
,,,,,,164.2,,5.0,Variation,RAM Size=8 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,C49-LBE-V6B,,False
,,,,,,,,,,,C5M-QTAC-19Z6,96.4,False
,,,,,,,,,,,CD8-2H12-F44,40.5,False
,,,,,,,,,,,CI2-NK-Y76,60.19,False
,,,,,,,,,,,CJ2-197J-NTL,59.5,False
,,,,,,,,,,,COS-GHB-C54,65.5,False
,,,,,,,,,,,COS-GHB-C54-3,65.5,False
,,,,,,,,,,,COS-GHB-C54-4,79.5,False
,,,,,,,,,,,COS-GHB-C54-5,100.5,False
,,,,,,,,,,,CP5-3U42-B68,43.0,False
,,,,,,,,,,,CRN-CXZS-GOH,47.19,False
Revise,CPUs/Processors (164),167683932813.0,10th Gen Intel Core i5-10500 CPU 3.1GHz (Turbo 4.5GHz) 6-Core 12M LGA1200 SRH37,US,USD,106.0,,2.0,,,D5B-F8Q-75O,,False
,,,,,,,,,,,D7B2-9MJP-G9OGM,44.0,False
Revise,PC Desktops & All-In-Ones (179),157235581601.0,Lenovo ThinkCentre M710q i5-7500T 8GB 240GB SSD DP  WIFI Win 10 Pro,US,USD,165.92,,5.0,,,DUM-7PF-I5E,,False
,,,,,,,,,,,EVO-TV33-F17M,50.5,False
,,,,,,,,,,,FG6-2I62-R63,46.19,False
,,,,,,,,,,,FRK-Q4T-FLG,43.19,False
,,,,,,,,,,,FVY-UTNQ-UTK,58.19,False
,,,,,,,,,,,GCC-X2U0-KSS,59.19,False
,,,,,,,,,,,HD8E-BGE5-AV31W,64.4,False
,,,,,,,,,,,HS8-JHCB-UTE,67.5,False
,,,,,,,,,,,I9A-SVDD-V9K,34.5,False
,,,,,,264.2,,5.0,Variation,RAM Size=32 GB|Storage=1TB SSD|Operating System=Windows 11 Pro,ID6-SI8-OUM,118.0,False
,,,,,,,,,,,IDB-J3T-NFX,40.19,False
,,,,,,,,,,,IF_00CBC69C,46.5,False
Revise,"CD, DVD & Blu-ray Drives (131542)",167684293080.0,LOT 3 Internal Desktop Computer DVDRW Rewritable Sata Drive Burner for Dell HP,US,USD,20.99,,5.0,,,IF_03608CCF-1,,False
,,,,,,233.8,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_0374C0C1,,False
,,,,,,,,,,,IF_03F4810C,28.5,False
,,,,,,215.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_043382DA,,False
,,,,,,240.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_04F798B3,,False
,,,,,,,,,,,IF_05EDD41C,47.4,False
,,,,,,,,,,,IF_07196951-2,53.19,False
,,,,,,200.2,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_07291B55,,False
,,,,,,188.2,,5.0,Variation,RAM Size=32 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_0777984F,83.0,False
,,,,,,220.99,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_083B52AE,,False
,,,,,,239.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=2 TB|Accessories=NONE,IF_0D3B06D3,,False
,,,,,,200.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_0DF494DB,,False
Revise,CPUs/Processors (164),157325136254.0,Intel Core i3-6100 - 3.7 GHz Dual-Core (SR2HG) Processor,US,USD,11.99,,10.0,,,IF_0E2937D2,,False
,,,,,,298.25,,10.0,Variation,RAM Size=32 GB|SSD Capacity=512 GB,IF_0E5D9C30,,False
,,,,,,,,,,,IF_0E61F217,41.5,False
,,,,,,215.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_0EF68F9D,,False
,,,,,,,,,,,IF_1058D2AA-2,73.4,False
,,,,,,230.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_115D96D2,,False
,,,,,,164.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_12F5C2CC,,False
,,,,,,159.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_14DB66DD,,False
,,,,,,,,,,,IF_154D8723,58.0,False
,,,,,,149.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_1580DC9F,,False
,,,,,,164.2,,5.0,Variation,RAM Size=16 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_15BBD94B,,False
,,,,,,159.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_169C0974,,False
,,,,,,262.4,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_173CE468,,False
,,,,,,133.17,,5.0,Variation,RAM Size=16 GB|SSD Capacity=256 GB,IF_18D2B485,,False
,,,,,,,,,,,IF_19C70EBB-2,41.19,False
,,,,,,128.2,,4.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=NONE,IF_1AA7419F,54.5,False
,,,,,,,,,,,IF_1BFDF118-2,68.0,False
,,,,,,290.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_1C3004E4,,False
,,,,,,244.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_1C502602,,False
,,,,,,,,,,,IF_1DD907F1-2,64.4,False
,,,,,,,,,,,IF_1EF39CE9,53.4,False
,,,,,,,,,,,IF_1FC6E52C,88.0,False
,,,,,,,,,,,IF_1FC97F7C,30.5,False
,,,,,,224.17,,5.0,Variation,RAM Size=32 GB|SSD Capacity=1 TB,IF_2040DA2A,,False
,,,,,,,,,,,IF_209E7827,45.4,False
,,,,,,,,,,,IF_219DC41B,75.0,False
,,,,,,154.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_21A00D43,,False
,,,,,,,,,,,IF_24ADC93E,42.4,False
,,,,,,112.2,,5.0,Variation,RAM Size=8 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_288CE5A8,56.0,False
,,,,,,229.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=2 TB|Accessories=NONE,IF_290C5B20,,False
,,,,,,,,,,,IF_29859A48,69.4,False
,,,,,,,,,,,IF_29AE6CE8-1,53.0,False
,,,,,,285.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=2 TB|Accessories=NONE,IF_2BE56311,,False
,,,,,,180.25,,10.0,Variation,RAM Size=8 GB|SSD Capacity=256 GB,IF_2C293D70,,False
,,,,,,320.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=2 TB|Accessories=NONE,IF_2E2B4832,,False
,,,,,,182.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_2F85F222,,False
,,,,,,225.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_30B72F9E,,False
,,,,,,169.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_3189AA79,,False
,,,,,,242.6,,5.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_319F6A60,,False
,,,,,,,,,,,IF_32060B10,60.4,False
,,,,,,220.25,,10.0,Variation,RAM Size=8 GB|SSD Capacity=512 GB,IF_35B5AB01,,False
,,,,,,,,,,,IF_3687EDE9-DELL,72.4,False
,,,,,,300.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_3708100F,,False
,,,,,,,,,,,IF_378ECD6C,116.5,False
,,,,,,208.2,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_3ACB4173,,False
,,,,,,235.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_3D316FA1,,False
,,,,,,,,,,,IF_3EB7E2C5,28.5,False
,,,,,,,,,,,IF_3ED4AAAD,48.0,False
,,,,,,,,,,,IF_4416BA1E,71.4,False
,,,,,,,,,,,IF_460893CB,95.5,False
,,,,,,192.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_46EF105B,,False
,,,,,,260.25,,10.0,Variation,RAM Size=16 GB|SSD Capacity=512 GB,IF_496FC182,,False
,,,,,,174.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_4A1919A1,,False
,,,,,,233.8,,5.0,Variation,RAM Size=32 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_4A4E9330,97.0,False
,,,,,,140.17,,5.0,Variation,RAM Size=8 GB|SSD Capacity=1 TB,IF_4AF8F298,,False
,,,,,,,,,,,IF_4DBEEDE3-2,44.4,False
,,,,,,,,,,,IF_4DE61834-2,69.0,False
,,,,,,340.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_4E193BA3,,False
,,,,,,112.17,,4.0,Variation,RAM Size=8 GB|SSD Capacity=256 GB,IF_4FCBCCE8,,False
,,,,,,,,,,,IF_504BA5AB,41.19,False
,,,,,,294.56,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 10 Pro,IF_51008F76,,False
,,,,,,162.25,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_515934EF,,False
,,,,,,206.6,,5.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_522BDEDB,,False
,,,,,,168.2,,5.0,Variation,RAM Size=16 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_527A15FF,81.0,False
,,,,,,218.0,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_52B11C4C,,False
,,,,,,,,,,,IF_537D8881-2,48.4,False
,,,,,,,,,,,IF_542FB4D4,56.0,False
,,,,,,102.6,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=NONE,IF_544B799B,,False
Revise,Barcode Scanners (46706),167749424223.0,Symcode MJ R30 2D Portable Wireless Bluetooth Finger Ring Barcode Scanner Reader,US,USD,75.0,,3.0,,,IF_553B391C,,False
,,,,,,352.5,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_579686CA,,False
,,,,,,,,,,,IF_57F8DEB5-2,52.0,False
,,,,,,,,,,,IF_58212D4D,89.4,False
,,,,,,178.6,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_5A4E6062,,False
,,,,,,216.25,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_5C9C9740,,False
,,,,,,,,,,,IF_5FB254B3,33.5,False
,,,,,,169.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_6049CB02,,False
,,,,,,,,,,,IF_606692FB-2,59.4,False
,,,,,,,,,,,IF_63447A08,71.5,False
,,,,,,,,,,,IF_63B508BD-2,56.5,False
,,,,,,263.99,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_655E12D1,,False
,,,,,,220.25,,10.0,Variation,RAM Size=16 GB|SSD Capacity=256 GB,IF_6688C352,,False
,,,,,,182.6,,5.0,Variation,RAM Size=32 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_67D65AE5,,False
,,,,,,,,,,,IF_67E61992,54.19,False
,,,,,,,,,,,IF_6AFEE5EC,44.19,False
,,,,,,140.2,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=NONE,IF_6B6152B1,,False
,,,,,,136.2,,5.0,Variation,RAM Size=8 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_6F3E6AC4,,False
,,,,,,140.2,,5.0,Variation,RAM Size=8 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_6F58ECAD,73.0,False
,,,,,,,,,,,IF_70573F09,43.19,False
,,,,,,,,,,,IF_751991CD-2,42.4,False
,,,,,,,,,,,IF_7541306A-2,64.0,False
,,,,,,295.5,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_76F6E1FC,,False
,,,,,,258.54,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_77556958,,False
,,,,,,,,,,,IF_7BB8EFE1-2,82.0,False
,,,,,,,,,,,IF_7E2B7B87-2,43.5,False
,,,,,,,,,,,IF_7E2BD6A2-2,43.19,False
,,,,,,289.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_7F8CC1BC,,False
,,,,,,148.2,,5.0,Variation,RAM Size=16 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_80A06F63,66.0,False
,,,,,,,,,,,IF_82DB756C-2,76.4,False
,,,,,,116.2,,3.0,Variation,RAM Size=8 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_84587549,57.5,False
,,,,,,280.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_874090EF,,False
,,,,,,,,,,,IF_888ED41F,69.5,False
,,,,,,132.2,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_892BCCBB,,False
,,,,,,348.88,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 10 Pro,IF_8EB41472,,False
,,,,,,189.17,,5.0,Variation,RAM Size=32 GB|SSD Capacity=256 GB,IF_8FD3811A,,False
,,,,,,,,,,,IF_90392F05-2,89.4,False
,,,,,,120.2,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=NONE,IF_90521275,,False
,,,,,,220.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_918A4A11,,False
,,,,,,,,,,,IF_936D3683-2,36.19,False
,,,,,,133.17,,5.0,Variation,RAM Size=8 GB|SSD Capacity=512 GB,IF_93E14B1B,,False
,,,,,,154.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_93F6A5D0,,False
,,,,,,,,,,,IF_96807577,68.19,False
,,,,,,165.25,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_978AD2CC,,False
,,,,,,187.4,,5.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_9904A0D4,,False
,,,,,,315.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_9924E69D,,False
,,,,,,190.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_9A28BB10,,False
,,,,,,190.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_9A841504,,False
,,,,,,189.17,,5.0,Variation,RAM Size=16 GB|SSD Capacity=1 TB,IF_9B093AF0,,False
,,,,,,154.17,,5.0,Variation,RAM Size=16 GB|SSD Capacity=512 GB,IF_9BD04D7F,,False
,,,,,,,,,,,IF_9C425D4F-2,62.0,False
,,,,,,225.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_A095648A,,False
,,,,,,312.5,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_A3112C40,,False
,,,,,,,,,,,IF_A3385627,59.19,False
Revise,PC Desktops & All-In-Ones (179),157272888492.0,Dell OptiPlex MT Core i5 Desktop PC 16GB RAM 265GB SSD DVD Wi-Fi Windows 11,US,USD,138.24,,5.0,,,IF_A57A50C0,,False
,,,,,,199.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_A5954B64,,False
,,,,,,,,,,,IF_A698B97F-2,55.4,False
,,,,,,,,,,,IF_A929B171-2,54.19,False
,,,,,,,,,,,IF_ABB33465-2,47.5,False
,,,,,,,,,,,IF_ABB33465-2-1,47.5,False
,,,,,,140.2,,5.0,Variation,RAM Size=16 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_AC98C8AB,,False
,,,,,,290.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_ADDD5600,,False
,,,,,,173.0,,5.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_AE063ACA,,False
,,,,,,210.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_AE3BA6C7,,False
,,,,,,,,,,,IF_AE708265,10.5,False
,,,,,,213.8,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_AFC23013,,False
,,,,,,165.0,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_B035807B,,False
,,,,,,,,,,,IF_B03AE97B-2-1,47.19,False
,,,,,,260.25,,10.0,Variation,RAM Size=32 GB|SSD Capacity=256 GB,IF_B2EB56A4,,False
,,,,,,338.25,,10.0,Variation,RAM Size=32 GB|SSD Capacity=1 TB,IF_B6B8757F,,False
,,,,,,,,,,,IF_BA123A19,46.5,False
,,,,,,,,,,,IF_BBB2050E,46.5,False
,,,,,,240.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=2 TB|Accessories=NONE,IF_BC006067,,False
,,,,,,,,,,,IF_BC162B16,81.5,False
,,,,,,149.8,,5.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=NONE,IF_BC17040F,,False
,,,,,,,,,,,IF_BD847A16-2,72.19,False
,,,,,,153.8,,5.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_BDFA39EF,,False
,,,,,,,,,,,IF_BF1BE2B1,30.5,False
,,,,,,,,,,,IF_BF9BB504-2,73.0,False
,,,,,,,,,,,IF_C1E18D1E-2,64.0,False
,,,,,,231.4,,5.0,Variation,RAM Size=32 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_C388B158,,False
,,,,,,234.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_C4C803D0,,False
,,,,,,184.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_C5CFF17F,,False
,,,,,,,,,,,IF_C64BAE67-2,60.4,False
,,,,,,,,,,,IF_C9CD1F8F,41.19,False
Revise,PC Desktops & All-In-Ones (179),167794250105.0,Lenovo Windows 11 Pro Desktop Intel i5 Computer PC SFF 16GB RAM 512GB SSD WiFi,US,USD,164.25,,3.0,,,IF_CA43AEE7,,False
,,,,,,260.25,,10.0,Variation,RAM Size=8 GB|SSD Capacity=1 TB,IF_CB0471DA,,False
,,,,,,215.25,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_CB2445F8,,False
,,,,,,203.17,,5.0,Variation,RAM Size=32 GB|SSD Capacity=512 GB,IF_CB24E8F5,,False
Revise,PC Desktops & All-In-Ones (179),157276020925.0,Dell Optiplex SFF PC Intel Core i5 16GB 512GB SSD WIN 11 Pro desktop WIFI,US,USD,278.99,,1.0,,,IF_CBB9302A,,False
,,,,,,260.25,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_CC106749,,False
,,,,,,,,,,,IF_CE33305F,58.0,False
,,,,,,225.25,,3.0,Variation,Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_CFF0F128,,False
,,,,,,,,,,,IF_D343B547,44.4,False
,,,,,,159.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_D58192A3,,False
,,,,,,140.2,,5.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_D599B172,,False
,,,,,,417.52,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_D71E1C3F,,False
,,,,,,245.25,,3.0,Variation,Processor=Intel Core i7|RAM Size=8 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_D72729FC,,False
,,,,,,300.25,,10.0,Variation,RAM Size=16 GB|SSD Capacity=1 TB,IF_D927370C,,False
,,,,,,165.8,,5.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_D9C5AD49,,False
,,,,,,,,,,,IF_DB9FB965-2,57.0,False
