Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU),Cost
,,,,,,154.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=256 GB,BYD-YFD-VTQ-9,
,,,,,,,,,,,C5M-QTAC-19Z6,96.4
,,,,,,,,,,,COS-GHB-C54,65.5
,,,,,,,,,,,COS-GHB-C54-3,65.5
,,,,,,,,,,,COS-GHB-C54-4,79.5
,,,,,,,,,,,COS-GHB-C54-5,100.5
Revise,PC Desktops & All-In-Ones (179),396869851001.0,"DELL Desktop Computer PC i5,up to 32GB RAM,1TB m.2 SSD, Windows 10/11, WiFi",US,USD,,,,,Operating System=Windows 11 Pro;Windows 10 Pro|RAM Size=8 GB;16 GB;32 GB|SSD Capacity=128 GB;250 GB;500 GB;1 TB|Accessories=NONE;RGB Keyboard & Mouse,D9F-7IT-U3V,
Revise,PC Desktops & All-In-Ones (179),396767148169.0,HP PRO 3500 MIDTOWER PC INTEL CORE i3-3220 3.3GHz 8GB 500GB WINDOWS 10 PRO,US,USD,161.67,,10.0,,,H39U-P2G8-PFILT,
Revise,Barcode Scanners (46706),396999073549.0,Symcode MJ R30 2D Portable Wireless Bluetooth Finger Ring Barcode Scanner Reader,US,USD,75.0,,3.0,,,I1H-7YW-W23,
,,,,,,,,,,,ID6-SI8-OUM,118.0
,,,,,,140.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=128 GB,IF_00CBC69C,46.5
,,,,,,,,,,,IF_0777984F,83.0
,,,,,,277.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=RGB Keyboard & Mouse,IF_083EAB54,
,,,,,,313.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=RGB Keyboard & Mouse,IF_09BB4997,
,,,,,,270.25,,10.0,Variation,RAM Size=16|Hard Drive Capacity=1TB|Operating System=Windows 10 Pro,IF_0A4511F7,
,,,,,,168.25,,3.0,Variation,RAM Size=8 GB|SSD Capacity=256 GB,IF_0D2B1520,
,,,,,,285.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=RGB Keyboard & Mouse,IF_0EE07D0C,
,,,,,,192.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_0F8BDE53,
,,,,,,200.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=256 GB,IF_130B0915,
,,,,,,,,,,,IF_154D8723,58.0
,,,,,,150.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=NONE,IF_15F83DC2,
,,,,,,235.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=1 TB,IF_176DAF69,
,,,,,,244.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=RGB Keyboard & Mouse,IF_1A31D5F9,
,,,,,,,,,,,IF_1AA7419F,54.5
,,,,,,123.19,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512|Operating System=Windows 11 Pro,IF_1CCB9390,
,,,,,,275.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_1DFB7649,
,,,,,,240.25,,10.0,Variation,RAM Size=16|Hard Drive Capacity=1TB|Operating System=Windows 11 Pro,IF_1F84EA10,
,,,,,,,,,,,IF_1FC6E52C,88.0
,,,,,,,,,,,IF_219DC41B,75.0
,,,,,,270.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=RGB Keyboard & Mouse,IF_21EDD20C,
,,,,,,149.09,,3.0,Variation,RAM Size=16 GB|Hard Drive Capacity=512|Operating System=Windows 11 Pro,IF_225569AB,
,,,,,,165.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=256 GB,IF_23EA8B63,
,,,,,,207.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_259008BF,
,,,,,,164.99,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_26EC1044,
,,,,,,,,,,,IF_288CE5A8,56.0
,,,,,,240.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=256 GB,IF_2942DABD,
,,,,,,215.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=128 GB,IF_2C73222F,
,,,,,,140.25,,10.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_2C8BB817,
,,,,,,175.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=128 GB,IF_2CA16E92,
,,,,,,153.29,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=256|Operating System=Windows 11 Pro,IF_305714E4,
,,,,,,200.25,,10.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_340499B6,
,,,,,,315.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=1 TB,IF_378ECD6C,116.5
,,,,,,230.25,,10.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB|Operating System=Windows 10 Pro,IF_38266920,
,,,,,,197.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=RGB Keyboard & Mouse,IF_39622742,
,,,,,,235.25,,10.0,Variation,RAM Size=16|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_39AD308F,
,,,,,,270.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=1 TB,IF_39F4BBEB,
,,,,,,167.99,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_3A07400F,
,,,,,,170.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=RGB Keyboard & Mouse,IF_3D8DFD4B,
,,,,,,,,,,,IF_3ED4AAAD,48.0
,,,,,,175.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=NONE,IF_4093E986,
,,,,,,329.99,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=1TB|Operating System=Windows 11 Pro,IF_426D4C84,
,,,,,,258.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_42970DC4,
,,,,,,225.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=RGB Keyboard & Mouse,IF_4420638A,
,,,,,,159.99,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_445437F5,
,,,,,,280.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=512 GB,IF_460893CB,95.5
,,,,,,,,,,,IF_4A4E9330,97.0
,,,,,,223.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_4A722809,
,,,,,,,,,,,IF_527A15FF,81.0
,,,,,,289.99,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_52E48F80,
,,,,,,,,,,,IF_542FB4D4,56.0
,,,,,,242.99,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=1TB|Operating System=Windows 10 Pro,IF_5582E92E,
,,,,,,147.69,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_5590DCF6,
,,,,,,217.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=RGB Keyboard & Mouse,IF_5CB1758E,
,,,,,,230.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=1 TB,IF_5ECB8650,
,,,,,,195.25,,10.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_5F387746,
,,,,,,200.25,,10.0,Variation,RAM Size=16|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_6025AB1C,
,,,,,,200.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=512 GB,IF_63447A08,71.5
,,,,,,199.99,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_671CCC53,
,,,,,,172.19,,3.0,Variation,RAM Size=16 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_67783588,
,,,,,,185.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=RGB Keyboard & Mouse,IF_680D8782,
,,,,,,153.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=RGB Keyboard & Mouse,IF_69CF45FE,
,,,,,,228.25,,3.0,Variation,RAM Size=16 GB|SSD Capacity=512 GB,IF_6AF6FE20,
,,,,,,240.25,,0.0,Variation,RAM Size=16 GB|Storage=256GB SSD,IF_6D89C57B,
,,,,,,,,,,,IF_6F58ECAD,73.0
,,,,,,234.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=512 GB,IF_72268247,
,,,,,,292.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_725D8823,
,,,,,,180.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=128 GB,IF_755F345D,
,,,,,,160.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=256 GB,IF_75F84DA7,
,,,,,,260.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_763B954B,
,,,,,,249.99,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=1TB|Operating System=Windows 11 Pro,IF_78134AC6,
,,,,,,284.25,,0.0,Variation,RAM Size=32 GB|Storage=256GB SSD,IF_7B0BF5BF,
,,,,,,,,,,,IF_80A06F63,66.0
,,,,,,305.25,,0.0,Variation,RAM Size=16 GB|Storage=1TB SSD,IF_822677B1,
,,,,,,250.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_831EA48D,
,,,,,,,,,,,IF_84587549,57.5
,,,,,,345.25,,0.0,Variation,RAM Size=32 GB|Storage=1TB SSD,IF_86816C12,
,,,,,,260.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_875B654F,
,,,,,,202.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=RGB Keyboard & Mouse,IF_876C4E10,
,,,,,,179.99,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB|Operating System=Windows 11 Pro,IF_87E348FD,
,,,,,,181.99,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=512|Operating System=Windows 11 Pro,IF_87EC1165,
,,,,,,265.25,,0.0,Variation,RAM Size=16 GB|Storage=512GB SSD,IF_8810919F,
,,,,,,208.99,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_886732F0,
,,,,,,230.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=128 GB,IF_888ED41F,69.5
,,,,,,206.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_892FB662,
,,,,,,235.25,,10.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB|Operating System=Windows 11 Pro,IF_8B22FEF6,
,,,,,,186.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=RGB Keyboard & Mouse,IF_8BE08C08,
,,,,,,298.25,,3.0,Variation,RAM Size=32 GB|SSD Capacity=512 GB,IF_8EEE294C,
,,,,,,144.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=NONE,IF_8F7BC5BA,
,,,,,,174.99,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB|Operating System=Windows 10 Pro,IF_95A4515A,
,,,,,,239.99,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_97C44C93,
,,,,,,202.29,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_97D54737,
,,,,,,240.25,,10.0,Variation,RAM Size=16|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_9A085DCB,
,,,,,,235.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=RGB Keyboard & Mouse,IF_9B2B1DA3,
,,,,,,297.99,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_9BDB7082,
,,,,,,190.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=RGB Keyboard & Mouse,IF_9E261AC9,
,,,,,,229.99,,0.0,Variation,RAM Size=16 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_A0EDE828,
,,,,,,175.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=RGB Keyboard & Mouse,IF_A486D436,
,,,,,,270.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=RGB Keyboard & Mouse,IF_A6CD9766,
,,,,,,216.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_A9393636,
,,,,,,328.25,,3.0,Variation,RAM Size=32 GB|SSD Capacity=1 TB,IF_A944E05D,
,,,,,,219.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=RGB Keyboard & Mouse,IF_AABB427E,
,,,,,,275.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=512 GB,IF_ADB2936B,
,,,,,,,,,,,IF_AE708265,10.5
,,,,,,278.25,,3.0,Variation,RAM Size=16 GB|SSD Capacity=1 TB,IF_B144F287,
,,,,,,254.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=512 GB,IF_B4663C6D,
,,,,,,125.25,,8.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=128 GB,IF_BA123A19,46.5
,,,,,,260.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=RGB Keyboard & Mouse,IF_BA93A82F,
,,,,,,,,,,,IF_BC162B16,81.5
,,,,,,132.25,,10.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_BD6C5C90,
,,,,,,265.25,,0.0,Variation,RAM Size=8 GB|Storage=1TB SSD,IF_BD6D5B7E,
,,,,,,279.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=1 TB,IF_C07308D3,
,,,,,,267.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_C18E8812,
,,,,,,285.99,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_C25CCCD7,
,,,,,,216.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_C3D51335,
,,,,,,165.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_C60238F9,
,,,,,,244.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=256 GB,IF_C7221F61,
,,,,,,205.25,,10.0,Variation,RAM Size=16|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_CAA95856,
,,,,,,294.99,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_CB715290,
,,,,,,,,,,,IF_CE33305F,58.0
,,,,,,128.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=NONE,IF_CF735A48,
,,,,,,160.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=RGB Keyboard & Mouse,IF_CF81E465,
,,,,,,185.25,,0.0,Variation,RAM Size=8 GB|Storage=256GB SSD,IF_D07C238A,
,,,,,,303.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_D0C8631C,
,,,,,,198.25,,3.0,Variation,RAM Size=16 GB|SSD Capacity=256 GB,IF_D1A1779C,
,,,,,,138.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=RGB Keyboard & Mouse,IF_D646ABAC,
,,,,,,310.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=1 TB,IF_D9A3DC42,
,,,,,,225.25,,0.0,Variation,RAM Size=8 GB|Storage=512GB SSD,IF_DAA66A92,
,,,,,,226.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=RGB Keyboard & Mouse,IF_DAD8B0DD,
,,,,,,,,,,,IF_DD1CDD4E,56.0
,,,,,,160.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=NONE,IF_DDCF295B,
,,,,,,303.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=RGB Keyboard & Mouse,IF_E1299351,
,,,,,,104.99,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256|Operating System=Windows 11 Pro,IF_E33FC70B,
,,,,,,,,,,,IF_E3B10D9A,46.5
,,,,,,157.99,,0.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_E47DD569,
,,,,,,299.99,,0.0,Variation,RAM Size=32 GB|Hard Drive Capacity=1TB|Operating System=Windows 10 Pro,IF_E99656B9,
,,,,,,195.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=512 GB,IF_E9A2D6A7,
,,,,,,198.25,,3.0,Variation,RAM Size=8 GB|SSD Capacity=512 GB,IF_ED0E1BA5,
,,,,,,,,,,,IF_EE1C3267,66.0
,,,,,,278.25,,3.0,Variation,RAM Size=32 GB|SSD Capacity=256 GB,IF_EE43107B,
,,,,,,129.49,,3.0,Variation,RAM Size=16 GB|Hard Drive Capacity=256|Operating System=Windows 11 Pro,IF_EE81AD7A,
,,,,,,305.25,,0.0,Variation,RAM Size=32 GB|Storage=512GB SSD,IF_F06743C0,
,,,,,,187.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=NONE,IF_F56FA9A9,
,,,,,,180.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_F711064B,
,,,,,,234.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_FA231D2B,
,,,,,,269.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=RGB Keyboard & Mouse,IF_FDC9D546,
,,,,,,265.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=256 GB,IF_FF4ED4F8,
,,,,,,208.25,,3.0,Variation,RAM Size=8 GB|SSD Capacity=1 TB,IF_FF7B1603,
,,,,,,175.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_FFEA9BC5,
Revise,PC Desktops & All-In-Ones (179),396840294062.0,"DELL Desktop Computer PC i7,up to 32GB RAM,1TB m.2 SSD, Windows 10/11, WiFi",US,USD,,,,,Operating System=Windows 11 Pro;Windows 10 Pro|RAM Size=8 GB;16 GB;32 GB|SSD Capacity=128 GB;250 GB;500 GB;1 TB|Accessories=NONE;RGB Keyboard & Mouse,J8T-P82-FEB,74.5
,,,,,,141.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=NONE,J8T-P82-FEB,74.5
,,,,,,150.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=RGB Keyboard & Mouse,J8T-P82-FEB-1,
,,,,,,189.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,J8T-P82-FEB-10,93.5
,,,,,,199.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=RGB Keyboard & Mouse,J8T-P82-FEB-11,106.5
